id,title,description,availability,condition,price,link,image_link,brand,custom_label_0
afterwork-med-relax,Afterwork med relax,"Upplev en skön after work varje onsdag hos oss. Paketet inkluderar entré, badrock, tofflor, handduk, en smakrik kycklingwrap för endast 249 SEK/person.",in stock,new,249 SEK,https://www.hotelskansen.com/paket/afterwork-med-relax/,https://viva-media.github.io/hotelskansen-feed/images/afterwork-med-relax.jpg,Hotel Skansen,Övernattningspaket
golfpaket,Golfpaket,"Upplev det ultimata golfpaketet på Öland med Hotel Skansen: Spela på Saxnäs GK. Inkluderar greenfee, övernattning, mousserande vin och gourmetmiddagar.",in stock,new,1640 SEK,https://www.hotelskansen.com/paket/golfpaket/,https://viva-media.github.io/hotelskansen-feed/images/golfpaket.jpg,Hotel Skansen,Övernattningspaket
halvdag-1,Dagsmys,"Njut av en halvdagsvistelse för 715 SEK/person, som inkluderar badrock, handduk, tofflor, entré till relaxen, lunch och en 25-minuters behandling.",in stock,new,715 SEK,https://www.hotelskansen.com/paket/halvdag-1/,https://viva-media.github.io/hotelskansen-feed/images/halvdag-1.jpg,Hotel Skansen,Övernattningspaket
highland-park-overnattningspaket,Highland Park – Övernattningspaket,"Kom och upplev något utöver det vanliga en Highland Park-provning! Kvällen leds av Max Warner på engelska där vi startar kvällen med en Highland Park-cocktail för att sedan upptäcka tre olika sorters Highland Park-whisky. Under två timmar i vår världsberömda whiskykällare kommer du få ta del av Max Warners erfarenheter och historier efter mer än [&hellip;]",in stock,new,1625 SEK,https://www.hotelskansen.com/paket/highland-park-overnattningspaket/,https://viva-media.github.io/hotelskansen-feed/images/highland-park-overnattningspaket.jpg,Hotel Skansen,Övernattningspaket
julbordspaket,Julbordspaket,"Ladda upp med julkänsla hos oss! Checka in hos oss på Hotel Skansen och njut av tillvaron med julstämning, glögg och god mat. Precis som vanligt i juletid så dukas vårt fantastiska julbord upp i bistron – ett populärt inslag på Öland, nära Kalmar. Kombinera jultraditionen med att upptäcka några av Ölands pärlor eller koppla [&hellip;]",in stock,new,1635 SEK,https://www.hotelskansen.com/paket/julbordspaket/,https://viva-media.github.io/hotelskansen-feed/images/julbordspaket.jpg,Hotel Skansen,Övernattningspaket
kvallsmys-50-min,Kvällslyx,"Lyxigt Kvällsmys 2 för 1150 kr/person: Inkluderar badrock, handduk, tofflor, relaxentré, välkomstdrink, 2-rätters middag och 50 min valfri behandling.",in stock,new,1150 SEK,https://www.hotelskansen.com/paket/kvallsmys-50-min/,https://viva-media.github.io/hotelskansen-feed/images/kvallsmys-50-min.jpg,Hotel Skansen,Övernattningspaket
mandagsspa-for-seniorer,Seniorspa,"Måndagsspa för seniorer: Tillgång till relax, inklusive handduk och lunch, för 280 kr/person. Njut av en avkopplande dag mellan 09.00-15.00.",in stock,new,280 SEK,https://www.hotelskansen.com/paket/mandagsspa-for-seniorer/,https://viva-media.github.io/hotelskansen-feed/images/mandagsspa-for-seniorer.jpg,Hotel Skansen,Övernattningspaket
minisemester-3-natter,Minisemester 3 nätter,"Unna dig en tre-dagars minisemester på Öland och låt vardagsstressen sväva bort. Lyxiga tvårätters middagar, bubblande välkomstdrinkar och SPA.",in stock,new,1500 SEK,https://www.hotelskansen.com/paket/minisemester-3-natter/,https://viva-media.github.io/hotelskansen-feed/images/minisemester-3-natter.jpg,Hotel Skansen,Övernattningspaket
mohippa-svensexa-kompisgang-foretagshang,Spapaket för grupper,"Fira med vänner eller kollegor i vår relaxavdelning. Inkluderar badrock, handduk, tofflor, 1 dryck och snacks fr. 580 kr/person. För grupper om minst 5.",in stock,new,580 SEK,https://www.hotelskansen.com/paket/mohippa-svensexa-kompisgang-foretagshang/,https://viva-media.github.io/hotelskansen-feed/images/mohippa-svensexa-kompisgang-foretagshang.jpg,Hotel Skansen,Övernattningspaket
mord-mystik,Mord & Mystik,"Middagsmordet 10 oktober Den populära mordgåtan är tillbaka! Den 10 oktober är ni välkomna till en klassisk mordhistoria på hotellet. Festdeltagarna samlas, champagneglasen klingar och du befinner dig i händelsernas centrum. Framfört av professionella skådespelare från Loungeteatern kommer du tas med på en middagsmordgåta som du sent kommer att glömma. Vem har mördats och vem [&hellip;]",in stock,new,1750 SEK,https://www.hotelskansen.com/paket/mord-mystik/,https://viva-media.github.io/hotelskansen-feed/images/mord-mystik.jpg,Hotel Skansen,Övernattningspaket
